_startDate,_endDate,_value
2021-02-27 14:56:15 +0200,2021-02-27 14:56:18 +0200,4.32
2021-02-27 14:57:58 +0200,2021-02-27 14:58:00 +0200,5.6160000000000005
2021-02-27 14:58:30 +0200,2021-02-27 14:59:21 +0200,5.976
2021-02-27 15:13:59 +0200,2021-02-27 15:14:48 +0200,5.652
2021-02-27 15:16:07 +0200,2021-02-27 15:16:25 +0200,5.436
2021-02-27 15:17:00 +0200,2021-02-27 15:21:59 +0200,5.724
2021-02-27 15:21:59 +0200,2021-02-27 15:26:57 +0200,5.4
2021-02-27 15:26:59 +0200,2021-02-27 15:27:12 +0200,4.968
2021-02-27 15:28:39 +0200,2021-02-27 15:30:22 +0200,4.284
2021-02-27 15:30:52 +0200,2021-02-27 15:35:52 +0200,5.327999999999999
2021-02-27 15:35:52 +0200,2021-02-27 15:40:51 +0200,5.256
2021-02-27 15:40:51 +0200,2021-02-27 15:45:50 +0200,5.292000000000001
2021-02-27 15:54:10 +0200,2021-02-27 15:57:21 +0200,5.364
2021-02-27 15:57:55 +0200,2021-02-27 15:58:01 +0200,4.968
2021-02-27 16:01:28 +0200,2021-02-27 16:02:19 +0200,5.04
2021-02-27 16:02:31 +0200,2021-02-27 16:02:33 +0200,5.832000000000001
2021-02-27 16:19:22 +0200,2021-02-27 16:22:20 +0200,5.22
2021-02-27 16:23:41 +0200,2021-02-27 16:26:27 +0200,4.788
2021-02-27 16:29:55 +0200,2021-02-27 16:34:55 +0200,5.004
2021-02-27 16:34:55 +0200,2021-02-27 16:38:02 +0200,5.004
2021-02-27 16:38:29 +0200,2021-02-27 16:39:27 +0200,4.752
2021-02-27 16:39:47 +0200,2021-02-27 16:42:03 +0200,5.004
2021-02-27 16:42:24 +0200,2021-02-27 16:43:25 +0200,4.6080000000000005
2021-02-27 16:55:37 +0200,2021-02-27 16:59:13 +0200,5.148
2021-02-27 16:59:23 +0200,2021-02-27 17:04:22 +0200,4.716
2021-02-27 17:04:22 +0200,2021-02-27 17:09:21 +0200,5.004
2021-02-27 17:09:21 +0200,2021-02-27 17:09:30 +0200,4.32
2021-02-27 17:12:56 +0200,2021-02-27 17:14:47 +0200,4.428
2021-02-27 17:21:39 +0200,2021-02-27 17:25:39 +0200,4.824
2021-02-27 17:26:23 +0200,2021-02-27 17:27:59 +0200,4.6080000000000005
2021-02-27 17:28:15 +0200,2021-02-27 17:30:36 +0200,4.6080000000000005
2021-02-27 17:31:21 +0200,2021-02-27 17:33:43 +0200,4.428
2021-02-27 17:34:22 +0200,2021-02-27 17:36:25 +0200,4.212
2021-02-27 17:39:11 +0200,2021-02-27 17:44:11 +0200,5.0760000000000005
2021-02-27 17:44:11 +0200,2021-02-27 17:44:14 +0200,3.636
2021-02-27 17:44:28 +0200,2021-02-27 17:45:50 +0200,4.644
2021-02-27 17:46:28 +0200,2021-02-27 17:47:25 +0200,4.896
2021-02-27 17:47:50 +0200,2021-02-27 17:48:20 +0200,4.248
2021-02-27 17:58:37 +0200,2021-02-27 17:59:51 +0200,4.428
2021-02-27 18:06:00 +0200,2021-02-27 18:06:46 +0200,4.428
2021-02-27 18:07:21 +0200,2021-02-27 18:07:24 +0200,3.6719999999999997
2021-02-27 18:07:41 +0200,2021-02-27 18:10:43 +0200,4.9319999999999995
2021-02-27 18:14:12 +0200,2021-02-27 18:14:14 +0200,3.636
2021-02-27 18:14:30 +0200,2021-02-27 18:14:51 +0200,5.0760000000000005
